zip_code,city,street,house_no,location_type,location_name,id,closure_periods,opening_hours,latitude,longitude
10249,Berlin,Hermann-Blankenstein-Str.,38,RETAIL_OUTLET,k kiosk ,4319474,[],Mo: 09:00-17:30; Tu: 09:00-17:30; We: 09:00-17:30; Th: 09:00-17:30; Fr: 09:00-17:30; Sa: 09:00-17:30,52.5240101,13.4617084
10407,Berlin,Storkower Str.,139,RETAIL_OUTLET,k kiosk,4307189,[],Mo: 09:00-17:30; Tu: 09:00-17:30; We: 09:00-17:30; Th: 09:00-17:30; Fr: 09:00-17:30; Sa: 09:00-17:30,52.533484,13.4565964
10439,Berlin,Paul-Robeson-Str.,19,RETAIL_OUTLET,MG Kiezmarkt,4293064,[],Mo: 08:00-20:00; Tu: 08:00-20:00; We: 08:00-20:00; Th: 08:00-20:00; Fr: 08:00-20:00; Sa: 08:00-16:00,52.5528419,13.4065105
10559,Berlin,Turmstr.,19,RETAIL_OUTLET,Backshop-Kiosk,4341561,[],Mo: 09:00-18:00; Tu: 09:00-18:00; We: 09:00-18:00; Th: 09:00-18:00; Fr: 09:00-18:00; Sa: 10:00-18:00,52.5264211,13.3487363
12045,Berlin,Weichselstr.,30,RETAIL_OUTLET,,4315186,[],Mo: 09:00-19:00; Tu: 09:00-19:00; We: 09:00-19:00; Th: 09:00-19:00; Fr: 09:00-19:00; Sa: 09:00-19:00,52.487509,13.4374793
10247,Berlin,Samariterstr.,3,RETAIL_OUTLET,Dein Späti,4324347,[],Mo: 14:00-24:00; Tu: 14:00-24:00; We: 10:00-13:00; Th: 14:00-24:00; Fr: 10:00-13:00; Sa: 10:00-13:00,52.5154206,13.4649036
13353,Berlin,Burgsdorfstr.,3a,RETAIL_OUTLET,Drinks House,4287503,[],Mo: 11:30-23:00; Tu: 11:30-23:00; We: 11:30-23:00; Th: 11:30-23:00; Fr: 11:30-23:00; Sa: 11:30-23:00; Su: 11:30-23:00,52.5426205,13.3621311
13357,Berlin,Badstr.,20,RETAIL_OUTLET,KLC mobile store,4298603,[],Mo: 10:00-19:00; Tu: 10:00-19:00; We: 10:00-19:00; Th: 10:00-19:00; Fr: 10:00-19:00; Sa: 10:00-16:00,52.5518485,13.3829807
10439,Berlin,Schönhauser Allee,91,RETAIL_OUTLET,Spätkauf P-Berg Kiosk,4129392,[],Mo: 10:00-19:00; Tu: 10:00-19:00; We: 10:00-19:00; Th: 10:00-19:00; Fr: 10:00-19:00; Sa: 11:00-18:00,52.5541454,13.4150373
10777,Berlin,Maaßenstr.,8,RETAIL_OUTLET,LOTTO,4329387,[],Mo: 07:30-20:00; Tu: 07:30-20:00; We: 07:30-20:00; Th: 07:30-20:00; Fr: 07:30-20:00; Sa: 07:30-20:00,52.4979406,13.3539888
